year,Elon Musk,Larry Page,Sergey Brin,Jeff Bezos,Mark Zuckerberg,Larry Ellison,Bernard Arnault,Jensen Huang,Warren Buffett,Amancio Ortega
2012,2,18.7,18.7,18.4,17.5,36,41,,44,37.5
2013,2.7,23,22.8,25.2,13.3,43,29,,53.5,57
2014,8.4,32.3,31.8,32,28.5,48,33.5,,58.2,64
2015,12,29.7,29.2,34.8,33.4,54.3,37.2,,72.7,64.5
2016,10.7,35.2,34.4,45.2,44.6,43.6,34,,60.8,67
2017,13.9,40.7,39.8,72.8,56,52.2,41.5,,75.6,71.3
2018,19.9,48.8,47.5,112,71,58.5,72,5.6,84,70
2019,22.3,50.8,49.8,131,62.3,62.5,76,3.8,82.5,62.7
2020,24.6,50.9,49.1,113,54.7,59,76,4.7,67.5,55.1
2021,151,91.5,89,177,97,93,150,11.8,96,77
2022,219,111,107,171,67.3,106,158,20.6,118,59.6
2023,180,79.2,76,114,64.4,107,211,21.1,106,77.3
2024,195,114,110,194,177,141,233,77,133,103
2025,342,144,138,215,216,192,178,98.7,154,124
2026,839,257,237,224,222,190,171,154,149,148
