year,Elon Musk,Larry Page,Sergey Brin,Jeff Bezos,Mark Zuckerberg,Larry Ellison,Bernard Arnault,Jensen Huang,Warren Buffett,Amancio Ortega,Rob Walton,Jim Walton,Michael Dell,Alice Walton,Steve Ballmer,Carlos Slim Helu,Changpeng Zhao,Michael Bloomberg,Bill Gates,Francoise B. Meyers
2012,2,18.7,18.7,18.4,17.5,36,41,,44,37.5,,23.7,15.9,23.3,15.7,69,,22,61,
2013,2.7,23,22.8,25.2,13.3,43,29,,53.5,57,,26.7,15.3,26.3,15.2,73,,27,67,
2014,8.4,32.3,31.8,32,28.5,48,33.5,,58.2,64,,34.7,17.5,34.3,19.3,72,,33,76,
2015,12,29.7,29.2,34.8,33.4,54.3,37.2,,72.7,64.5,,40.6,19.2,39.4,21.5,77.1,,35.5,79.2,
2016,10.7,35.2,34.4,45.2,44.6,43.6,34,,60.8,67,,33.6,19.8,32.3,23.5,50,,40,75,
2017,13.9,40.7,39.8,72.8,56,52.2,41.5,,75.6,71.3,,34,20.4,33.8,30,54.5,,47.5,86,
2018,19.9,48.8,47.5,112,71,58.5,72,5.6,84,70,46.2,46.4,22.7,46,38.4,67.1,1.4,50,90,42.2
2019,22.3,50.8,49.8,131,62.3,62.5,76,3.8,82.5,62.7,44.3,44.6,34.3,44.4,41.2,64,1.2,55.5,96.5,49.3
2020,24.6,50.9,49.1,113,54.7,59,76,4.7,67.5,55.1,54.1,54.6,22.9,54.4,52.7,52.1,,48,98,48.9
2021,151,91.5,89,177,97,93,150,11.8,96,77,59.5,60.2,45.1,61.8,68.7,62.8,1.9,59,124,73.6
2022,219,111,107,171,67.3,106,158,20.6,118,59.6,65,66.2,55.1,65.3,91.4,81.2,65,82,129,74.8
2023,180,79.2,76,114,64.4,107,211,21.1,106,77.3,57.6,58.8,50.1,56.7,80.7,93,10.5,94.5,104,80.5
2024,195,114,110,194,177,141,233,77,133,103,77.4,78.4,91,72.3,121,102,33,106,128,99.5
2025,342,144,138,215,216,192,178,98.7,154,124,110,109,97.7,101,118,82.5,62.9,105,108,81.6
2026,839,257,237,224,222,190,171,154,149,148,146,143,141,134,126,125,110,109,108,100
