cohort_rank_2026,name,year,net_worth_usd_billions,annual_forbes_rank,country_or_territory,source_of_wealth,industry,original_forbes_name,match_quality,annual_data_source_url,cohort_definition,data_note
1,Elon Musk,2012,2,651,United States,Tesla Motors,Automotive,Elon Musk,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
1,Elon Musk,2013,2.7,533,United States,Tesla Motors,Automotive,Elon Musk,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
1,Elon Musk,2014,8.4,158,United States,Tesla Motors,Automotive,Elon Musk,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
1,Elon Musk,2015,12,101,United States,Tesla Motors,Automotive,Elon Musk,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
1,Elon Musk,2016,10.7,95,United States,Tesla Motors,Automotive,Elon Musk,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
1,Elon Musk,2017,13.9,81,United States,Tesla Motors,Automotive,Elon Musk,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
1,Elon Musk,2018,19.9,54,United States,Tesla Motors,Automotive,Elon Musk,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
1,Elon Musk,2019,22.3,40,United States,Tesla Motors,Automotive,Elon Musk,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
1,Elon Musk,2020,24.6,31,United States,"Tesla, SpaceX",Automotive,Elon Musk,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
1,Elon Musk,2021,151,2,United States,"Tesla, SpaceX",Automotive,Elon Musk,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
1,Elon Musk,2022,219,1,United States,"Tesla, SpaceX",Automotive,Elon Musk,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
1,Elon Musk,2023,180,2,United States,"Tesla, SpaceX",Automotive,Elon Musk,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
1,Elon Musk,2024,195,2,United States,"Tesla, SpaceX",Automotive,Elon Musk,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
1,Elon Musk,2025,342,1,United States,"Tesla, SpaceX",Automotive,Elon Musk,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
